id,grade,term,topic,subtopic,difficulty,question_text,answer_text,explanation,tags,alternate_answers
GK-SPACE-6-001,Year6,Term2,Space,Sun-Earth Distance,High,"How far is the Sun from Earth, approximately?","150 million kilometres","The Sun is approximately 150 million km away; light takes about 8 minutes 20 seconds to reach Earth.","astronomy,measurement","150 million km|93 million miles|8 light minutes"
GK-MATH-5-001,Year5,Term1,Fractions,Addition,Medium,"What is one half plus one quarter?","Three quarters","When adding fractions, you need a common denominator. 1/2 = 2/4, so 2/4 + 1/4 = 3/4.","fractions,addition","3/4|0.75|three fourths"
GK-MATH-4-001,Year4,Term1,Multiplication,Times Tables,Low,"What is 7 times 8?","56","7 x 8 = 56. This is part of the 7 times table.","multiplication,times tables","fifty-six|7x8|seven times eight"
GK-SCI-6-001,Year6,Term2,Science,Water Cycle,Medium,"What is the process called when water vapour turns into liquid water?","Condensation","Condensation occurs when water vapour cools down and changes back into liquid water, forming clouds or dew.","science,water cycle","condense"
GK-SCI-5-001,Year5,Term1,Science,States of Matter,Low,"What are the three main states of matter?","Solid, liquid, and gas","Matter exists in three main states: solid (fixed shape), liquid (takes container shape), and gas (fills space).","science,matter","solid liquid gas|three states"
GK-ENG-6-001,Year6,Term1,English,Grammar,Medium,"What type of word describes a noun?","Adjective","An adjective is a describing word that gives more information about a noun, like 'big', 'happy', or 'blue'.","grammar,parts of speech","describing word"
GK-ENG-5-001,Year5,Term2,English,Spelling,Low,"How do you spell the word for a large African animal with a trunk?","Elephant","Elephant is spelled E-L-E-P-H-A-N-T. Remember the 'ph' makes an 'f' sound.","spelling,animals",""
GK-HIST-6-001,Year6,Term2,History,Tudor Period,High,"Who was the King of England when the Spanish Armada attacked in 1588?","Henry VIII was already dead. It was Elizabeth I","In 1588, Queen Elizabeth I was ruling England when the Spanish Armada attacked. Henry VIII had died in 1547.","history,tudors","Elizabeth the First|Queen Elizabeth I|Elizabeth 1"
GK-GEO-5-001,Year5,Term1,Geography,Continents,Low,"How many continents are there in the world?","Seven","The seven continents are: Africa, Antarctica, Asia, Europe, North America, Oceania, and South America.","geography,continents","7|seven continents"
GK-GEO-6-001,Year6,Term2,Geography,UK,Medium,"What is the capital city of Scotland?","Edinburgh","Edinburgh is the capital city of Scotland. It's famous for its castle and annual festivals.","geography,UK,Scotland",""
GK-MATH-6-001,Year6,Term1,Maths,Percentages,High,"What is 15% of 200?","30","To find 15% of 200: (15/100) x 200 = 30. Or: 10% is 20, and 5% is 10, so 15% = 20 + 10 = 30.","maths,percentages","thirty"
GK-MATH-3-001,Year3,Term1,Maths,Addition,Low,"What is 25 plus 17?","42","25 + 17 = 42. You can split 17 into 10 + 7, so 25 + 10 = 35, then 35 + 7 = 42.","maths,addition","forty-two|42"
GK-SCI-4-001,Year4,Term2,Science,Human Body,Medium,"Which organ pumps blood around your body?","Heart","The heart is a muscular organ that pumps blood through blood vessels to all parts of your body.","science,biology,human body",""
GK-ENG-4-001,Year4,Term1,English,Vocabulary,Low,"What is the opposite of 'hot'?","Cold","Cold is the antonym (opposite) of hot. They describe opposite temperatures.","vocabulary,antonyms",""
GK-HIST-5-001,Year5,Term2,History,Ancient Egypt,Medium,"What were the large pyramid-shaped tombs of Egyptian pharaohs called?","Pyramids","The Ancient Egyptians built pyramids as tombs for their pharaohs. The most famous are the pyramids at Giza.","history,ancient egypt",""
GK-GEO-4-001,Year4,Term1,Geography,Compass,Low,"Which direction is opposite to North?","South","On a compass, South is directly opposite to North. East and West are the other two main directions.","geography,directions",""
GK-MATH-5-002,Year5,Term2,Maths,Division,Medium,"What is 72 divided by 8?","9","72 ÷ 8 = 9. You can check this by multiplying: 8 x 9 = 72.","maths,division","nine"
GK-SCI-6-002,Year6,Term1,Science,Forces,High,"What force pulls objects towards the Earth?","Gravity","Gravity is the force that attracts objects with mass towards each other. Earth's gravity pulls everything towards its centre.","science,physics,forces",""
GK-ENG-6-002,Year6,Term2,English,Literature,Medium,"Who wrote 'Romeo and Juliet'?","William Shakespeare","William Shakespeare wrote Romeo and Juliet around 1594-1596. It's one of his most famous plays.","literature,Shakespeare","Shakespeare"
GK-HIST-4-001,Year4,Term2,History,Romans,Medium,"What did the Romans build to carry water to their cities?","Aqueducts","Roman aqueducts were impressive structures that transported water from distant sources into cities and towns.","history,romans",""
